nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Delicious Blossom 2017 46183.html,zara,,2017.0,4.0,17,"['citrus', 'fruity', 'musky', 'powdery', 'sweet']",,,,,['Mandarin Orange'],['Peach'],['Musk'],https://www.fragrantica.com/perfume/zara/Delicious-Blossom-2017-46183.html
Vanilla Collection 01 Irresistible Magnetic Delicious 101852.html,Zara,,2025.0,4.23,78,"['amber', 'vanilla', 'white floral', 'sweet', 'citrus', 'powdery', 'animalic', 'soapy']",male,moderate,average,great value,['Orange Blossom'],['Vanilla'],['Amber'],https://www.fragrantica.com/perfume/Zara/Vanilla-Collection-01-Irresistible-Magnetic-Delicious-101852.html
Vanilla Collection 02 Unique Hypnotic Seductive 101853.html,Zara,,2025.0,4.28,76,"['vanilla', 'amber', 'powdery', 'sweet', 'balsamic']",male,moderate,average,great value,['Bourbon Vanilla'],['Amber'],['Labdanum'],https://www.fragrantica.com/perfume/Zara/Vanilla-Collection-02-Unique-Hypnotic-Seductive-101853.html
Peace Love Hope 7521.html,Victoria s Secret,,2009.0,3.64,14,"['fruity', 'white floral', 'fresh', 'green', 'yellow floral']",,,,,[],[],[],https://www.fragrantica.com/perfume/Victoria-s-Secret/Peace-Love-Hope-7521.html
Candy Baby 14455.html,Victoria s Secret,,2012.0,4.36,216,"['vanilla', 'sweet', 'powdery']",female,very weak,average,good value,[],[],[],https://www.fragrantica.com/perfume/Victoria-s-Secret/Candy-Baby-14455.html
Dark Chocolate Rum and Vanilla 67648.html,The Dua Brand,,2021.0,3.38,90,"['warm spicy', 'cacao', 'sweet', 'chocolate', 'vanilla', 'rum']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/The-Dua-Brand/Dark-Chocolate-Rum-and-Vanilla-67648.html
Strawberry Chocolate Oud 86588.html,The Dua Brand,,2021.0,5.0,1,"['citrus', 'amber', 'vanilla', 'sweet', 'woody', 'warm spicy', 'powdery', 'balsamic', 'earthy', 'fruity']",,,,,[],[],[],https://www.fragrantica.com/perfume/The-Dua-Brand/Strawberry-Chocolate-Oud-86588.html
Madagascar Vanilla Viski Aoud 85550.html,The Dua Brand,,2022.0,,,"['citrus', 'woody', 'sweet', 'aromatic', 'fruity', 'whiskey', 'powdery', 'green', 'vanilla', 'tobacco']",,,,,[],[],[],https://www.fragrantica.com/perfume/The-Dua-Brand/Madagascar-Vanilla-Viski-Aoud-85550.html
Mint Verte Herbs Sea Salt 85556.html,The Dua Brand,,2022.0,,,"['aromatic', 'citrus', 'green', 'fresh spicy', 'marine', 'amber', 'musky', 'salty', 'floral', 'fresh']",,,,,[],[],[],https://www.fragrantica.com/perfume/The-Dua-Brand/Mint-Verte-Herbs-Sea-Salt-85556.html
A Dark Chocolate Rum Vanilla Symphony 86812.html,The Dua Brand,,2021.0,5.0,1,"['warm spicy', 'oud', 'fresh spicy', 'sweet', 'cacao', 'vanilla', 'citrus', 'rose', 'musky', 'woody']",,,,,[],[],[],https://www.fragrantica.com/perfume/The-Dua-Brand/A-Dark-Chocolate-Rum-Vanilla-Symphony-86812.html
Quizas Quizas Quizas 2576.html,Loewe,Carlos Benaïm,2007.0,3.91,"1,719","['fruity', 'woody', 'white floral', 'patchouli', 'sweet', 'fresh', 'aromatic', 'citrus', 'warm spicy', 'floral']",female,long lasting,strong,ok,"['Red Berries', 'Cassia', 'Black Currant', 'Italian Lemon']","['Tuberose', 'Bulgarian Rose', 'Indian Jasmine']","['Patchouli', 'Musk', 'Sandalwood', 'Amber', 'Madagascar Vanilla', 'Honey']",https://www.fragrantica.com/perfume/Loewe/Quizas-Quizas-Quizas-2576.html
Quizas Quizas Quizas Eau de Toilette 37734.html,Loewe,Carlos Benaïm,2007.0,4.12,98,"['fruity', 'woody', 'sweet', 'patchouli', 'aromatic', 'fresh', 'citrus', 'honey', 'vanilla', 'warm spicy']",female,moderate,average,ok,"['Red Berries', 'Italian Lemon', 'Cassia']","['Bulgarian Rose', 'Indian Jasmine']","['Patchouli', 'Sandalowood', 'Vanilla', 'Amber', 'Honey']",https://www.fragrantica.com/perfume/Loewe/Quizas-Quizas-Quizas-Eau-de-Toilette-37734.html
Quizas Quizas Quizas Pasion 12615.html,Loewe,,2011.0,3.83,864,"['fruity', 'citrus', 'sweet', 'floral', 'woody', 'amber', 'fresh', 'white floral', 'sour', 'aromatic']",female,moderate,average,ok,"['Red Berries', 'Bergamot', 'Mandarin Orange']","['Freesia', 'Magnolia', 'African Orange Flower']","['Vetiver', 'Amber', 'Cashmere Wood']",https://www.fragrantica.com/perfume/Loewe/Quizas-Quizas-Quizas-Pasion-12615.html
O Unknown 47170.html,Imaginary Authors,Josh Meyer,2017.0,3.5,940,"['powdery', 'iris', 'woody', 'earthy', 'amber', 'warm spicy', 'green', 'musky', 'mossy', 'balsamic']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Imaginary-Authors/O-Unknown-47170.html
Love Chloe Eau Florale 15440.html,Chloe,Louise Turner,2012.0,4.07,"1,361","['powdery', 'floral', 'sweet', 'green', 'musky']",female,long lasting,average,ok,"['Mate', 'Green Tea']","['Woody Notes', 'Sweet Pea']","['Musk', 'Powdery Notes']",https://www.fragrantica.com/perfume/Chloe/Love-Chloe-Eau-Florale-15440.html
Don t Get Me Wrong Baby YES I DO 41116.html,Etat Libre d Orange,,2016.0,3.62,989,"['white floral', 'fresh', 'aldehydic', 'soapy', 'musky', 'green']",female,moderate,average,ok,"['Aldehydes', 'Pear', 'Lily of the Valley']","['Jasmine', 'Orange Blossom', 'Peony']","['Cocoa', 'Cedar', 'Musk']",https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Don-t-Get-Me-Wrong-Baby-YES-I-DO-41116.html
Oh Cherry 93124.html,Bath Body Works,,2024.0,4.08,185,"['cherry', 'vanilla', 'floral']",female,moderate,average,great value,[],[],[],https://www.fragrantica.com/perfume/Bath-Body-Works/Oh-Cherry-93124.html
Thank U Next Body Mist 92531.html,Ariana Grande,Jérôme Epinette,,3.98,127,"['sweet', 'fruity', 'coconut', 'vanilla', 'rose', 'musky']",female,weak,average,great value,"['Pear', 'Raspberry']","['Pink Rose', 'Coconut']","['Macarons', 'Musk']",https://www.fragrantica.com/perfume/Ariana-Grande/Thank-U-Next-Body-Mist-92531.html
Thank U Next 56741.html,Ariana Grande,Jérôme Epinette,2019.0,3.67,"4,133","['sweet', 'coconut', 'fruity', 'vanilla', 'almond', 'rose']",female,moderate,average,good value,"['Pear', 'Raspberry']","['Pink Rose', 'Coconut']","['Macarons', 'Musk']",https://www.fragrantica.com/perfume/Ariana-Grande/Thank-U-Next-56741.html
Roses Roses 40169.html,Avon,,1972.0,4.33,66,"['rose', 'musky', 'floral']",female,weak,average,great value,[],[],[],https://www.fragrantica.com/perfume/Avon/Roses-Roses-40169.html
Bitter Rose Broken Spear 18361.html,DS Durga,David Seth Moltz,2013.0,4.04,136,"['woody', 'rose', 'aromatic', 'fresh spicy', 'herbal', 'green', 'hot iron', 'amber', 'floral', 'smoky']",unisex,moderate,average,,"['Cubeb or Tailed pepper', 'Thyme', 'Ember']","['Rose', 'Nutmeg', 'Thistle']","['Larch', 'Hot iron', 'Amber']",https://www.fragrantica.com/perfume/DS-Durga/Bitter-Rose-Broken-Spear-18361.html
Pale Grey Mountain Small Black Lake 18360.html,DS Durga,David Seth Moltz,2013.0,4.16,128,"['mossy', 'aquatic', 'floral', 'woody', 'earthy', 'fresh', 'violet', 'fresh spicy', 'aromatic', 'sweet']",unisex,moderate,intimate,ok,"['Oakmoss', 'Water Notes']","['Water Pepper', 'Beech', 'heather', 'Blackberry', 'Violet']","['Water Notes', 'Portulaca or Pigweed']",https://www.fragrantica.com/perfume/DS-Durga/Pale-Grey-Mountain-Small-Black-Lake-18360.html
Dior Me Dior Me Not 1380.html,Dior,,2004.0,3.71,278,"['floral', 'fresh', 'aquatic', 'sweet', 'powdery', 'cherry', 'violet', 'musky']",female,moderate,average,ok,"['Water Notes', 'Sweet Pea']","['Freesia', 'Violet', 'Peony']","['Cherry', 'Musk']",https://www.fragrantica.com/perfume/Dior/Dior-Me-Dior-Me-Not-1380.html
Love don t be shy Anniversary Edition 77056.html,By Kilian,Calice Becker,2022.0,3.85,66,"['white floral', 'sweet', 'musky', 'powdery', 'citrus', 'soft spicy', 'aromatic']",female,moderate,average,way overpriced,"['Coriander', 'Neroli', 'Bergamot', 'Pink Pepper']","['Iris', 'Orange Blossom', 'Rose', 'Honeysuckle', 'Jasmine']","['Musk', 'Labdanum', 'Vanilla', 'Marshmallow', 'Caramel']",https://www.fragrantica.com/perfume/By-Kilian/Love-don-t-be-shy-Anniversary-Edition-77056.html
I Never Make The Same Mistake Twice Unless They re Crazy Hot 59127.html,By Kilian,Calice Becker,2020.0,3.75,297,"['fruity', 'sweet', 'woody', 'soft spicy', 'rose', 'vanilla', 'citrus', 'floral']",female,moderate,average,ok,"['Pear', 'Mandarin Orange', 'Black Currant', 'Pink Pepper']","['Plum', 'Patchouli', 'Rose']","['Sandalwood', 'Vanilla']",https://www.fragrantica.com/perfume/By-Kilian/I-Never-Make-The-Same-Mistake-Twice-Unless-They-re-Crazy-Hot-59127.html
Let s Settle This Argument Like Adults In The Bedroom Naked 50498.html,By Kilian,,2018.0,3.92,"1,580","['woody', 'powdery', 'fruity', 'vanilla', 'sweet', 'green']",female,moderate,average,ok,"['Bergamot', 'Lemon']","['Green Notes', 'Hedione', 'Fig Nectar']","['Orris', 'Sandalwood', 'Vanilla', 'Violet', 'Amberwood', 'Cedar']",https://www.fragrantica.com/perfume/By-Kilian/Let-s-Settle-This-Argument-Like-Adults-In-The-Bedroom-Naked-50498.html
Yes I Was Madly In Love But That Was Yesterday 50933.html,By Kilian,,2018.0,3.81,343,"['leather', 'fruity', 'white floral', 'animalic', 'sweet', 'smoky']",unisex,long lasting,strong,ok,['Raspberry'],['White Tobacco'],['Leather'],https://www.fragrantica.com/perfume/By-Kilian/Yes-I-Was-Madly-In-Love-But-That-Was-Yesterday-50933.html
Sophie Matisse Art Edition Good Girl Gone Bad Splash of Neroli 31348.html,By Kilian,Alberto Morillas,2015.0,4.2,116,"['white floral', 'citrus', 'woody', 'tuberose', 'aromatic', 'rose', 'green', 'floral', 'earthy', 'warm spicy']",female,moderate,average,ok,"['Bergamot', 'Mandarin Orange', 'Neroli']","['Rose', 'Jasmine', 'Tuberose']","['Sandalwood', 'Vetiver', 'Patchouli']",https://www.fragrantica.com/perfume/By-Kilian/Sophie-Matisse-Art-Edition-Good-Girl-Gone-Bad-Splash-of-Neroli-31348.html
Sophie Matisse Art Edition Straight To Heaven Splash Of Lemon 31347.html,By Kilian,Sidonie Lancesseur,2015.0,4.09,131,"['woody', 'citrus', 'fresh spicy', 'rum', 'powdery', 'aromatic', 'patchouli', 'amber', 'warm spicy', 'musky']",male,moderate,average,overpriced,"['Bergamot', 'Rum', 'Lemon']","['Rose', 'Patchouli', 'Nutmeg', 'Cedar']","['Amber', 'Musk', 'Vanilla']",https://www.fragrantica.com/perfume/By-Kilian/Sophie-Matisse-Art-Edition-Straight-To-Heaven-Splash-Of-Lemon-31347.html
Kologne Shield of protection 73317.html,By Kilian,Calice Becker,2022.0,3.88,448,"['citrus', 'aromatic', 'woody', 'fresh spicy', 'green']",unisex,moderate,average,way overpriced,"['Mint', 'Bitter Orange', 'Green Mandarin', 'Lime', 'Eucalyptus']","['Petitgrain', 'Ginger', 'Neroli', 'Rosemary', 'Galbanum']","['Green Sap', 'Cashmere Wood', 'Cedar', 'Musk']",https://www.fragrantica.com/perfume/By-Kilian/Kologne-Shield-of-protection-73317.html
Awake 51704.html,Akro,Olivier Cresp,2018.0,3.98,"1,795","['warm spicy', 'coffee', 'aromatic', 'citrus']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Awake-51704.html
Bake 81614.html,Akro,Olivier Cresp,2023.0,4.15,"1,998","['sweet', 'vanilla', 'citrus', 'lactonic']",female,moderate,average,ok,"['Rum', 'Lemon Zest']","['Praline', 'Whipped Cream']","['Brown sugar', 'Bourbon Vanilla']",https://www.fragrantica.com/perfume/Akro/Bake-81614.html
Dark 51706.html,Akro,Olivier Cresp,2018.0,3.64,998,"['warm spicy', 'cacao', 'chocolate', 'sweet', 'vanilla', 'nutty', 'cinnamon']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Dark-51706.html
East 83772.html,Akro,Olivier Cresp,2023.0,3.51,243,"['oud', 'leather', 'amber', 'fruity', 'sweet', 'animalic', 'musky', 'smoky', 'fresh spicy']",unisex,long lasting,strong,ok,['Raspberry'],"['Leather', 'Agarwood (Oud)']",['Ambroxan'],https://www.fragrantica.com/perfume/Akro/East-83772.html
Glow 94352.html,Akro,Olivier Cresp,2024.0,4.02,299,"['amber', 'vanilla', 'soft spicy', 'smoky', 'balsamic', 'powdery', 'sweet']",unisex,moderate,average,ok,['Pink Pepper'],['Incense'],"['Vanilla', 'Amber']",https://www.fragrantica.com/perfume/Akro/Glow-94352.html
Haze 51702.html,Akro,Olivier Cresp,2018.0,3.73,783,"['aromatic', 'woody', 'green', 'camphor', 'fresh spicy', 'soft spicy']",unisex,moderate,average,ok,"['Mint', 'Eucalyptus', 'Absinthe']",['Clary Sage'],"['Patchouli', 'Leather']",https://www.fragrantica.com/perfume/Akro/Haze-51702.html
Infuse 91689.html,Akro,Olivier Cresp,2024.0,3.32,318,"['aromatic', 'floral', 'woody', 'fruity', 'fresh spicy', 'citrus', 'amber', 'lactonic']",unisex,moderate,average,ok,"['Bergamot', 'Guaiac Wood']","['Osmanthus', 'Freesia', 'Magnolia', 'Apricot', 'Oolong tea', 'Mate']","['Ambroxan', 'Vetiver']",https://www.fragrantica.com/perfume/Akro/Infuse-91689.html
Ink 73528.html,Akro,Olivier Cresp,2022.0,3.64,575,"['aromatic', 'woody', 'leather', 'smoky', 'earthy']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Ink-73528.html
Malt 51707.html,Akro,Olivier Cresp,2018.0,3.07,517,"['woody', 'whiskey', 'marine', 'warm spicy', 'leather', 'aquatic', 'patchouli', 'rum', 'aromatic', 'animalic']",male,long lasting,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Malt-51707.html
Night 51708.html,Akro,Olivier Cresp,2018.0,3.04,665,"['rose', 'fresh spicy', 'warm spicy', 'oud', 'animalic', 'floral', 'metallic', 'leather']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Night-51708.html
Rise 84247.html,Akro,Olivier Cresp,2023.0,3.57,643,"['sweet', 'fruity', 'coconut', 'tropical', 'white floral', 'floral']",female,moderate,average,ok,"['Piña Colada', 'Pineapple', 'Coconut Water']","['Toffee', 'Frangipani', 'Tiare Flower']","['Sandalwood', 'Ambroxan']",https://www.fragrantica.com/perfume/Akro/Rise-84247.html
Smile 94734.html,Akro,Olivier Cresp,2024.0,3.65,345,"['citrus', 'fruity', 'aromatic', 'sweet', 'musky', 'fresh spicy', 'powdery', 'soft spicy']",female,moderate,intimate,ok,['Bergamot'],"['Raspberry', 'Clary Sage']",['Musk'],https://www.fragrantica.com/perfume/Akro/Smile-94734.html
Smoke 51705.html,Akro,Olivier Cresp,2018.0,3.67,819,"['smoky', 'tobacco', 'amber', 'sweet', 'aromatic', 'woody', 'vanilla', 'fresh spicy', 'warm spicy']",unisex,long lasting,average,ok,[],[],[],https://www.fragrantica.com/perfume/Akro/Smoke-51705.html
001 orange blossom petitgrain bergamot 51015.html,Bon Parfumeur,Nathalie Koobus,2017.0,3.87,188,"['citrus', 'white floral', 'aromatic', 'fresh spicy', 'green']",unisex,moderate,average,good value,"['Mandarin Orange', 'Citron', 'Rosemary', 'Bergamot']","['Lavender', 'Jasmine', 'Petitgrain', 'Neroli']","['Musk', 'Orange Blossom']",https://www.fragrantica.com/perfume/Bon-Parfumeur/001-orange-blossom-petitgrain-bergamot-51015.html
002 neroli jasmin ambre blanc 69028.html,Bon Parfumeur,Karine Dubreuil-Sereni,2019.0,3.99,90,"['white floral', 'citrus', 'fresh', 'floral', 'fresh spicy', 'green']",female,moderate,average,good value,"['Neroli', 'Sicilian Bergamot']","['Peony', 'Lily-of-the-Valley', 'Jasmine']","['Musk', 'White Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/002-neroli-jasmin-ambre-blanc-69028.html
003 yuzu feuilles de violette vetiver 69029.html,Bon Parfumeur,,2019.0,4.18,346,"['citrus', 'aromatic', 'green', 'fresh spicy', 'ozonic', 'woody', 'white floral', 'floral', 'aquatic']",unisex,moderate,average,good value,"['Violet Leaf', 'Yuzu', 'Bergamot']","['Neroli', 'Jasmine', 'Elemi resin']","['Musk', 'Vetiver']",https://www.fragrantica.com/perfume/Bon-Parfumeur/003-yuzu-feuilles-de-violette-vetiver-69029.html
004 Gin Mandarine Musc 66352.html,Bon Parfumeur,Karine Dubreuil-Sereni,2021.0,4.05,170,"['citrus', 'aromatic', 'fresh spicy', 'warm spicy', 'tobacco', 'woody', 'sweet']",unisex,moderate,average,good value,"['Mandarin Orange', 'Italian Lemon', 'Bergamot']","['Nutmeg', 'Ginger', 'Juniper Berries']","['Tonka Bean', 'Tobacco', 'Indonesian Patchouli Leaf', 'White Musk']",https://www.fragrantica.com/perfume/Bon-Parfumeur/004-Gin-Mandarine-Musc-66352.html
101 rose sweet pea white cedar 50998.html,Bon Parfumeur,Alexandra Monet,2017.0,3.86,154,"['rose', 'floral', 'white floral', 'woody', 'warm spicy', 'musky', 'patchouli', 'aromatic', 'citrus', 'fresh']",female,moderate,average,ok,"['Lavender', 'Cardamom', 'Bergamot']","['Sweet Pea', 'Lily-of-the-Valley', 'White Cedar Extract', 'Turkish Rose']","['Musk', 'Patchouli', 'Crystal Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/101-rose-sweet-pea-white-cedar-50998.html
102 tea cardamom mimosa 50999.html,Bon Parfumeur,Nathalie Koobus,2017.0,3.79,110,"['citrus', 'aromatic', 'green', 'warm spicy', 'powdery', 'fresh spicy', 'yellow floral', 'floral', 'fresh', 'mossy']",female,moderate,average,good value,"['Cardamom', 'Coriander', 'Bergamot']","['Tea', 'Jasmine', 'Violet']","['Musk', 'Moss', 'Mimosa']",https://www.fragrantica.com/perfume/Bon-Parfumeur/102-tea-cardamom-mimosa-50999.html
103 tiare flower jasmine hibiscus 51000.html,Bon Parfumeur,Karine Dubreuil-Sereni,2017.0,3.89,241,"['white floral', 'floral', 'citrus', 'tropical', 'musky', 'sweet']",female,moderate,average,ok,"['Broom', 'Bergamot', 'Hibiscus']","['Neroli', 'Frangipani', 'Tiare Flower', 'Jasmine Sambac']","['Musk', 'Vanilla', 'Sand']",https://www.fragrantica.com/perfume/Bon-Parfumeur/103-tiare-flower-jasmine-hibiscus-51000.html
104 orange verte jacynthe lierre 69031.html,Bon Parfumeur,Corinne Cachen,2019.0,3.84,56,"['green', 'aromatic', 'balsamic', 'citrus', 'floral', 'woody', 'aquatic', 'fresh', 'fresh spicy', 'earthy']",unisex,long lasting,average,ok,"['Bitter Orange', 'Mastic or Lentisque', 'Cardamom', 'Galbanum']","['Watery Notes', 'Jasmine', 'Hyacinth']","['Patchouli', 'Vetiver', 'Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/104-orange-verte-jacynthe-lierre-69031.html
106 damascena rose davana vanilla 78510.html,Bon Parfumeur,,,3.83,82,"['rose', 'vanilla', 'musky', 'soft spicy', 'powdery', 'aromatic', 'green', 'sweet', 'floral', 'balsamic']",female,moderate,average,good value,['Pink Pepper'],"['Davana', 'Damask Rose']","['Musk', 'Vanilla']",https://www.fragrantica.com/perfume/Bon-Parfumeur/106-damascena-rose-davana-vanilla-78510.html
201 granny smith lily of the valley pear 51001.html,Bon Parfumeur,Philippe Romano,2017.0,3.76,108,"['fruity', 'fresh', 'floral', 'green', 'white floral', 'sweet', 'aromatic', 'citrus', 'fresh spicy', 'musky']",female,weak,average,good value,"['Cassis', 'Green Apple', 'Bergamot', 'Pear']","['Lily-of-the-Valley', 'Marigold', 'Freesia', 'Magnolia']","['Musk', 'Cedar', 'Vetiver']",https://www.fragrantica.com/perfume/Bon-Parfumeur/201-granny-smith-lily-of-the-valley-pear-51001.html
2019 vodka tobacco juniper 56042.html,Bon Parfumeur,Karine Dubreuil-Sereni,2019.0,3.56,25,"['aromatic', 'fresh spicy', 'green', 'woody', 'vodka', 'tobacco', 'citrus', 'sweet', 'earthy', 'warm spicy']",male,weak,average,good value,"['Bitter Orange', 'Basil', 'Mint', 'Vodka']","['Frosted Melon', 'Juniper Berries', 'Pink Pepper', 'Cinammon']","['Patchouli', 'Tobacco', 'Vetiver']",https://www.fragrantica.com/perfume/Bon-Parfumeur/2019-vodka-tobacco-juniper-56042.html
202 watermelon redcurrant jasmine 51002.html,Bon Parfumeur,Karine Dubreuil-Sereni,2017.0,3.6,157,"['fruity', 'fresh', 'sweet', 'ozonic', 'aquatic', 'white floral', 'citrus', 'floral', 'caramel', 'woody']",female,moderate,average,good value,"['Grapefruit', 'Citron', 'Melon']","['Lily-of-the-Valley', 'Red Currant', 'Cyclamen', 'Mango', 'Jasmine']","['Sandalwood', 'Caramel', 'Peach']",https://www.fragrantica.com/perfume/Bon-Parfumeur/202-watermelon-redcurrant-jasmine-51002.html
203 raspberry vanilla blackberry 51003.html,Bon Parfumeur,Corinne Cachen,2017.0,3.86,214,"['fruity', 'vanilla', 'sweet', 'white floral', 'fresh', 'powdery', 'amber', 'citrus', 'musky', 'woody']",female,moderate,average,good value,"['Neroli', 'Red Fruits', 'Pear']","['Solar Notes', 'Rose', 'Jasmine']","['Musk', 'Vanilla', 'Ambergris', 'White Woods']",https://www.fragrantica.com/perfume/Bon-Parfumeur/203-raspberry-vanilla-blackberry-51003.html
301 sandalwood amber cardamom 51004.html,Bon Parfumeur,Nathalie Koobus,2017.0,3.7,207,"['woody', 'warm spicy', 'aromatic', 'amber', 'powdery', 'fresh spicy', 'coconut']",unisex,moderate,average,good value,"['Cypress', 'Cardamom', 'Thyme', 'Ylang-Ylang', 'Cumin']","['Coconut Nectar', 'Jasmine', 'Cedar']","['Sandalwood', 'Benzoin', 'Patchouli', 'Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/301-sandalwood-amber-cardamom-51004.html
302 amber iris sandalwood 51005.html,Bon Parfumeur,Sidonie Lancesseur,2017.0,4.12,222,"['amber', 'powdery', 'woody', 'warm spicy', 'balsamic', 'vanilla', 'smoky', 'iris']",unisex,moderate,average,good value,"['Geranium', 'Red Berries']","['Vanilla', 'Iris', 'Incense']","['Sandalwood', 'Musk', 'Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/302-amber-iris-sandalwood-51005.html
303 piment baie rose benjoin 69034.html,Bon Parfumeur,Sidonie Lancesseur,2019.0,4.31,71,"['warm spicy', 'amber', 'woody', 'aromatic', 'soft spicy', 'sweet', 'powdery', 'earthy', 'balsamic', 'musky']",unisex,long lasting,average,ok,"['Cardamom', 'Red Chilli Pepper', 'Pink Pepper']","['Patchouli', 'Ylang-Ylang', 'Tolu Balsam']","['Java vetiver oil', 'Haitian Vetiver', 'Musk', 'Benzoin']",https://www.fragrantica.com/perfume/Bon-Parfumeur/303-piment-baie-rose-benjoin-69034.html
304 Cumin Fleur d Amandier Cedre 90081.html,Bon Parfumeur,,2024.0,3.71,34,"['fresh spicy', 'woody', 'almond', 'animalic', 'fruity']",unisex,moderate,average,good value,"['Ginger', 'Cumin']",['Almond'],['Cedar'],https://www.fragrantica.com/perfume/Bon-Parfumeur/304-Cumin-Fleur-d-Amandier-Cedre-90081.html
401 cedar candied plum vanilla 51006.html,Bon Parfumeur,,2017.0,3.99,454,"['woody', 'amber', 'fruity', 'balsamic', 'warm spicy', 'aromatic', 'sweet', 'smoky', 'vanilla', 'powdery']",unisex,moderate,average,good value,"['Bergamot', 'elemi', 'Incense', 'Cypress']","['Cinnamon', 'Cedar', 'Patchouli', 'Plum']","['Sandalwood', 'Vanilla', 'Musk', 'Labdanum']",https://www.fragrantica.com/perfume/Bon-Parfumeur/401-cedar-candied-plum-vanilla-51006.html
402 vanilla toffee sandalwood 51007.html,Bon Parfumeur,Corinne Cachen,2017.0,3.84,318,"['vanilla', 'sweet', 'caramel', 'powdery', 'floral', 'woody', 'balsamic']",female,moderate,average,ok,"['Almond Blossom', 'Apple']","['Madagascar Vanilla', 'Heliotrope']","['Caramel', 'Sandalwood', 'Sugar', 'Musk', 'Benzoin']",https://www.fragrantica.com/perfume/Bon-Parfumeur/402-vanilla-toffee-sandalwood-51007.html
403 Myrrh Shadow 103049.html,Bon Parfumeur,Amelie Jacquin,2025.0,4.06,31,"['amber', 'warm spicy', 'fresh spicy', 'aromatic', 'woody', 'citrus', 'balsamic', 'musky', 'vanilla', 'green']",unisex,long lasting,average,ok,"['Bitter Orange', 'Black currant leaf', 'Grapefruit']","['Basil', 'Cinnamon', 'Cypress', 'Timur']","['Myrrh', 'Akigalawood', 'Cosmone', 'Atlas Cedar', 'Musk', 'Vanilla', 'Patchouli', 'Benzoin']",https://www.fragrantica.com/perfume/Bon-Parfumeur/403-Myrrh-Shadow-103049.html
501 praline licorice patchouli 51008.html,Bon Parfumeur,Philippe Romano,2017.0,3.81,330,"['sweet', 'nutty', 'woody', 'caramel', 'amber', 'lactonic', 'soft spicy']",female,moderate,average,good value,"['Hazelnut', 'Yuzu', 'Bergamot']","['Praline', 'Iris', 'Licorice']","['Caramel', 'Musk', 'Cashmere Wood', 'Patchouli', 'Amber']",https://www.fragrantica.com/perfume/Bon-Parfumeur/501-praline-licorice-patchouli-51008.html
601 vetiver cedar bergamot 51009.html,Bon Parfumeur,Nathalie Koobus,2017.0,3.87,178,"['woody', 'aromatic', 'citrus', 'fresh spicy', 'earthy', 'powdery']",male,moderate,average,good value,"['Grapefruit', 'Bergamot', 'Pink Pepper']","['Violet', 'Pepper']","['Sandalwood', 'Cedar', 'Vetiver']",https://www.fragrantica.com/perfume/Bon-Parfumeur/601-vetiver-cedar-bergamot-51009.html
602 pepper cedar patchouli 51010.html,Bon Parfumeur,Nathalie Koobus,2017.0,4.01,217,"['woody', 'fresh spicy', 'warm spicy', 'amber', 'aromatic', 'earthy', 'balsamic', 'patchouli', 'smoky']",unisex,moderate,average,good value,"['Neroli', 'Bay Leaf', 'Incense']","['Cedar', 'Pepper', 'Pimento']","['Benzoin', 'Patchouli', 'Incense', 'Vetiver']",https://www.fragrantica.com/perfume/Bon-Parfumeur/602-pepper-cedar-patchouli-51010.html
603 cuir encens feve tonka 69035.html,Bon Parfumeur,Mylène Alran,2020.0,4.08,163,"['amber', 'fresh spicy', 'ozonic', 'aromatic', 'woody', 'aquatic', 'leather', 'vanilla', 'green', 'musky']",unisex,moderate,average,good value,"['Violet Leaf', 'Nutmeg', 'Lemon']","['Olibanum', 'Sage', 'Cypress']","['Tonka Bean', 'Cashmeran', 'Cistus Incanus', 'Leather', 'Styrax']",https://www.fragrantica.com/perfume/Bon-Parfumeur/603-cuir-encens-feve-tonka-69035.html
701 eucalyptus amber white wood 51011.html,Bon Parfumeur,Benoist Lapouza,2017.0,4.05,155,"['woody', 'citrus', 'fresh spicy', 'aromatic', 'amber', 'camphor']",unisex,moderate,average,good value,"['Grapefruit', 'Pineapple', 'Bergamot']","['Nutmeg', 'Rosemary', 'Eucalyptus', 'Pepper']","['Liatris', 'Amber', 'Incense', 'White Wood', 'Amberwood']",https://www.fragrantica.com/perfume/Bon-Parfumeur/701-eucalyptus-amber-white-wood-51011.html
